Name,Wiki Summary
Unnamed US Citizen,"Citizen Kane is a 1941 American drama film produced by, directed by, and starring Orson Welles. He also co-wrote the screenplay with Herman J. Mankiewicz."
Unnamed Congressional Aide,The corruption case against then Louisiana Representative William J. Jefferson in the United States started on a suspicion of bribery. The FBI raided his Congressional offices in May 2006.
Adam Smith,"Adam Smith  (baptized 16 June [O.S. 5 June] 1723 – 17 July 1790) was a Scottish economist and philosopher who was a pioneer of political economy and key figure during the Scottish Enlightenment. Also known as ""The Father of Economics"" or ""The Father of Capitalism"", he wrote two classic works, The Theory of Moral Sentiments (1759) and An Inquiry into the Nature and Causes of the Wealth of Nations (1776)."
Mike Pence OLD,"Michael Richard Pence (born June 7, 1959) is an American politician, broadcaster, and lawyer who served as the 48th vice president of the United States from 2017 to 2021. A member of the Republican Party, he was the 50th governor of Indiana from 2013 to 2017."
Lu Kang,"Liu Kang (Chinese: 劉鋼; pinyin: Liú gāng; Wade–Giles: Liu2 Kang1 or Chinese: 劉康; pinyin: Liú kāng; Wade–Giles: Liu2 K'ang1) is a fictional character in the Mortal Kombat fighting game series by Midway Games and NetherRealm Studios. 
Depicted as Earthrealm's greatest warrior and champion, he is generally the main hero of the series."
Unnamed Foreign Official,"The International Legion of Territorial Defense of Ukraine (Ukrainian: Інтернаціональний легіон територіальної оборони України, romanized: Internatsionalnyi lehion terytorialnoi oborony Ukrainy) or the Ukrainian Foreign Legion is a military foreign legion military unit of the Territorial Defense Forces of Ukraine, created by the Government of Ukraine at the request of President Volodymyr Zelenskyy to fight in the Russian invasion of Ukraine.Ukrainian Foreign Minister Dmytro Kuleba said in an announcement that more than 20,000 volunteers from 52 countries have volunteered to fight for Ukraine; several thousands more been reported to have joined after this announcement. He didn't mention the name of the home countries of the volunteers, saying that some of the countries forbid their citizens from fighting for other countries."
Official North Korea,"North Korea, officially the Democratic People's Republic of Korea (DPRK), is a country in East Asia, constituting the northern part of the Korean peninsula. It borders China and Russia to the north, at the Yalu (Amnok) and Tumen rivers, and South Korea to the south at the Korean Demilitarized Zone."
Trita Parsi (OLD),"Trita Parsi (Persian: تریتا پارسی, born 21 July 1974) is the co-founder and executive vice president of the Quincy Institute for Responsible Statecraft, as well as the founder and former president of the National Iranian American Council. He regularly writes articles and appears on TV to comment on foreign policy and is the author of Treacherous Alliance, A Single Roll of the Dice and Losing an Enemy."
Steve Coll,"Steve Coll (born October 8, 1958) is an American journalist, academic and executive.
He is currently the dean of the Columbia University Graduate School of Journalism, where he is also the Henry R. Luce Professor of Journalism."
Unnamed Pentagon Official,"The Pentagon Papers, officially titled Report of the Office of the Secretary of Defense Vietnam Task Force, is a United States Department of Defense history of the United States' political and military involvement in Vietnam from 1945 to 1967. Released by Daniel Ellsberg, who had worked on the study; they were first brought to the attention of the public on the front page of The New York Times in 1971."
Many analysts,Intelligence analysis is the application of individual and collective cognitive methods to weigh data and test hypotheses within a secret socio-cultural context. The descriptions are drawn from what may only be available in the form of deliberately deceptive information; the analyst must correlate the similarities among deceptions and extract a common truth.
Department of Defense,"The United States Department of Defense (DoD, USDOD or DOD) is an executive branch department of the federal government charged with coordinating and supervising all agencies and functions of the government directly related to national security and the United States Armed Forces. The DOD is the largest employer in the world, with over 1.4 million active-duty service members (soldiers, Marines, sailors, airmen, and Guardians) as of 2021."
Unnamed Military Official,"Choe Hang (1209 – 17 May 1257) was the third dictator of the Choe Military regime, which dominated Goryeo for six decades before and during the Mongol invasions. Choe Hang continued on his predecessor Choe U's anti-Mongol policy, and refused to surrender to the invaders."
Unnamed Source,"In journalism, a source is a person, publication, or knowledge  other record or document that gives timely information. Outside journalism, sources are sometimes known as ""news sources""."
Unnamed Trump White House Official,"Efforts by U.S. President Donald Trump to coerce Ukraine and other countries into providing damaging narratives about 2020 Democratic Party presidential candidate Joe Biden as well as misinformation relating to Russian interference in the 2016 United States elections caused a political scandal in the United States. Trump enlisted surrogates within and outside his official administration, including his personal lawyer Rudy Giuliani and Attorney General William Barr, to pressure Ukraine and other foreign governments to cooperate in supporting conspiracy theories concerning American politics."
James Kim,"James Kim (August 9, 1971 – December 4, 2006) was an American television personality and technology analyst for the former TechTV international cable television network, reviewing products for shows including The Screen Savers, Call for Help, and Fresh Gear. At the time of his death he was working as a senior editor of MP3 and Digital Audio for CNET, where he wrote more than 400 product reviews."
Fumiaki Kubo,"Occult Academy (世紀末オカルト学院, Seikimatsu Okaruto Gakuin, ""End of Century Occult Academy"") is a Japanese anime television series produced by A-1 Pictures and Aniplex and directed by Tomohiko Itō. The 13-episode anime premiered in Japan on the TV Tokyo television network on July 6, 2010."
Benjamin Wolf,"Benjamin Wolf Löw (1775 – 6 March 1851) was a Polish–Hungarian rabbi. He was also known as Binyamin ben Elʻazar, Benjamin Adolf Löw, and Hebrew: Binyamin Ṿolf Leṿ, a.b.d."
Hans Kristensen,"Hans Kristensen (born 25 September 1941) is a Danish film director, screenwriter, and actor. He has directed eleven feature films since 1973."
Jim Risch,"James Elroy Risch ( RISH; born May 3, 1943) is an American lawyer and politician who has served as the junior United States senator from Idaho since 2009. A member of the Republican Party, he served as lieutenant governor of Idaho from 2003 to 2006 and from 2007 to 2009, and as governor of Idaho from 2006 to 2007."
 Victor Cha,"Victor D. Cha (born 1960) is an American academic, author and former national foreign policy advisor.
He is a former Director for Asian Affairs in the White House's National Security Council, with responsibility for Japan, North and South Korea, Australia, and New Zealand."
Vladimir Shamanov,"Vladimir Anatolyevich Shamanov (Russian: Владимир Анатольевич Шаманов, born 15 February 1957) is a retired Colonel General of the Russian Armed Forces, who was Commander-in-Chief of the Russian Airborne Troops (VDV) from May 2009 to October 2016 and a former Russian politician. After his retirement in October 2016, Shamanov became head of the State Duma Defense Committee."
Dalia Grybauskaite,"Dalia Grybauskaitė (Lithuanian pronunciation: ​[dɐˈlʲɛ ɡʲrʲiːbɐʊsˈkɐ̂ˑɪtʲeː]; born 1 March 1956) is a Lithuanian politician who served as the eighth President of Lithuania from 2009 until 2019. She is the first woman to hold the position and became in 2014 the first President of Lithuania to be reelected for a second consecutive term.Grybauskaitė has served as Minister of Finance, as well as European Commissioner for Financial Programming and the Budget from 2004 to 2009."
Mike Pompeo OLDER,"Michael Richard Pompeo (; born December 30, 1963) is an American politician, diplomat, and businessman who served under President Donald Trump as director of the Central Intelligence Agency (CIA) from 2017 to 2018 and as the 70th United States secretary of state from 2018 to 2021.
Pompeo is a former United States Army officer."
Heather Nauert,"Heather Ann Nauert (born January 27, 1970) is an American broadcast journalist and former government official who served as Spokesperson for the United States Department of State in the Donald Trump administration from 2017 to 2019. She is a senior fellow at the Hudson Institute, a conservative think tank.Prior to her positions at the Department of State, she worked as an ABC News correspondent and news presenter on the Fox News program Fox & Friends."
Uri Friedman (OLD),"Uri Geller (; Hebrew: אורי גלר; born 20 December 1946) is an Israeli-British illusionist, magician, television personality, and self-proclaimed psychic. He is known for his trademark television performances of spoon bending and other illusions."
David Welna,"David Lee Wells (born May 20, 1963) is an American former baseball pitcher who played 21 seasons in Major League Baseball (MLB) for nine teams, most notably the Toronto Blue Jays and New York Yankees. Nicknamed ""Boomer"", Wells was considered one of the league's top left-handed pitchers during his career and made three All-Star appearances."
Romanian Official,"Romanian (obsolete spellings: Rumanian or Roumanian; autonym: limba română [ˈlimba roˈmɨnə] (listen), or românește, lit. 'in Romanian') is a Balkan Romance language spoken by approximately 22–26 million people as a native language, primarily in Romania and Moldova, and by another 4 million people as a second language. According to another estimate, there are about 34 million people worldwide who can speak Romanian, of whom 30 million speak it as a native language."
Kang Kyung-wha,"Kang Kyung-wha (Korean: 강경화; Hanja: 康京和; born April 7, 1955) is a South Korean diplomat and politician who served as the first  Foreign Minister of South Korea under President Moon Jae-in from 2017 to 2021 as well as the first woman nominated for and appointed to the position. She is also the first Korean woman to hold a high-level position in the United Nations."
Douglas Barrie,"Douglas Robert Barrie (born October 2, 1946) is a Canadian former ice hockey defenceman.  He played in the National Hockey League for the Pittsburgh Penguins, Buffalo Sabres, and Los Angeles Kings."
Government South Korea ,"The Government of South Korea is a centralized democratic republic with the three primary branches of government; executive, legislative and judicial. The president acts at the head of state and is the highest figure of authority in the country, followed by the prime minister and government ministers in decreasing order."
Sarah Huckabee Sanders,"Sarah Elizabeth Sanders (née Huckabee; born August 13, 1982), also known as Sarah Huckabee Sanders, is an American political analyst and politician. She was the 31st White House press secretary, serving under President Donald Trump from 2017 to 2019."
Robert Work,"Robert Orton Work (born January 17, 1953) is an American national security professional who served as the 32nd United States Deputy Secretary of Defense for both the Obama and Trump administrations from 2014 to 2017. Prior to that, Work was the United States Under Secretary of the Navy from 2009 to 2013, and before that served as a colonel in the United States Marine Corps; Work retired in 2001 and worked as a civilian at the Center for Strategic and Budgetary Assessments (CSBA) and the George Washington University in various positions relating to military and strategic study."
Military China,"The People's Liberation Army (PLA) is the armed forces of the People's Republic of China (PRC) and the armed wing of the PRC's founding and ruling political party, the Chinese Communist Party (CCP). Besides the Central Military Commission (CMC) and several minor units directly under it, the PLA has five major service branches: the Ground Force (PLAGF), Navy (PLAN), Air Force (PLAAF), Rocket Force (PLARF), and the Strategic Support Force (PLASSF)."
Sergei Lavrov,"Sergey Viktorovich Lavrov (Russian: Сергей Викторович Лавров, pronounced [sʲɪrˈɡʲej ˈvʲiktərəvʲɪtɕ lɐˈvrof]; born 21 March 1950) is a Russian diplomat and politician who has served as the Foreign Minister of Russia since 2004. As a member of the United Russia party, he was previously the Permanent Representative of Russia to the United Nations, serving in the role from 1994 to 2004."
Report DOD,"The Lockheed Martin F-22 Raptor is an American single-seat, twin-engine, all-weather stealth tactical fighter aircraft developed for the United States Air Force (USAF). As the result of the USAF's Advanced Tactical Fighter (ATF) program, the aircraft was designed as an air superiority fighter, but also has ground attack, electronic warfare, and signals intelligence capabilities."
Chung Eui-yong,"Chung Eui-yong (Korean: 정의용; Hanja: 鄭義溶; born 14 April 1946) is a South Korean diplomat and a politician currently serving as Minister of Foreign Affairs under President Moon Jae-in from February 2021 after serving as his first Director of National Security from 2017 to 2020.


== Career ==

A 1968 graduate of Seoul National University, Chung joined the Ministry of Foreign Affairs in 1971."
Samuel Greaves,"Samuel A. Greaves is a retired United States Air Force Lieutenant General who is now a vice president and the chief architect for space and launch at Boeing. In the U.S. Air Force, he last served as the Commander of the Missile Defense Agency."
Dan Gouré,"Dan Gouré is the Vice President of the Lexington Institute, a thinktank based in Arlington, Virginia, and an analyst on national security and military issues for NBC. He has worked as an Adjunct Professor in the National Defense University's Homeland Security program under the SNSEE since 2003. He is a member of the Department of Homeland Security's advisory board.Gouré received a degree in Government and History from Pomona College, an MA in International Relations and Russian Studies from Johns Hopkins University, and a PhD in International Relations and Russian Studies from Johns Hopkins.He served as the director of the Office of Strategic Competitiveness in the Office of the Secretary of Defense for two years and then served as the Deputy Director of the International Security Program at the Center for Strategic and International Studies."
Yun Sun,"Yun Posun (Korean: 윤보선; Hanja: 尹潽善; Korean pronunciation: [junbosʌn] or [jun] [posʌn]; August 26, 1897 – July 18, 1990) was a South Korean politician and activist, who served as the second president of South Korea from 1960 to 1962 before being replaced by Park Chung-hee as a result of the May 16 coup in 1961.
Having entered politics after World War II, Yun served as Secretary to Korea's Chief of Staff in 1947; and was Mayor of Seoul in 1948."
Feng Zhang,"Feng Zhang (Chinese: 张锋; pinyin: Zhāng Fēng; born October 22, 1981) is a Chinese-American biochemist. Zhang currently holds the James and Patricia Poitras Professorship in Neuroscience at the McGovern Institute for Brain Research and in the departments of Brain and Cognitive Sciences and Biological Engineering at the Massachusetts Institute of Technology."
Sue Mi Terry,"Sue Mi Terry (born c. 1972) is a former CIA officer, researcher, and Senior Fellow at the Center for Strategic and International Studies. A former intelligence analyst specializing in East Asia, Terry is regularly quoted in print and web media as an expert on international politics involving North Korea, South Korea and Japan."
Rex Tillerson,"Rex Wayne Tillerson (born March 23, 1952) is an American engineer and energy executive who served as the 69th U.S. secretary of state from February 1, 2017, to March 31, 2018, under President Donald Trump. Prior to joining the Trump administration, Tillerson was chairman and chief executive officer (CEO) of ExxonMobil, holding that position from 2006 until 2017."
Citizen South Korea,"Visa requirements for South Korean citizens are administrative entry restrictions by the authorities of other states placed on citizens of South Korea.
As of 13 April 2021, South Korean citizens had visa-free or visa on arrival access to 191 countries and territories, ranking the South Korean passport 3rd in the world (tied with Germany) according to the Henley Passport Index.As of 2018, the passports of South Korea, Brunei and Chile are the only ones to provide visa-free access to all G8 countries."
Richard Spencer,"Richard Bertrand Spencer (born May 1978) is an American neo-Nazi, antisemitic conspiracy theorist, and white supremacist. A former editor, he is a public speaker and activist on behalf of the alt-right movement."
Case Cunningham,"Case Andrews Cunningham is a United States Air Force major general who is currently serving as commander of the United States Air Force Warfare Center. He previously served as the director of plans, programs, and requirements of the Air Combat Command."
Former U.S official,"This is a list of capital cities of the United States, including places that serve or have served as federal, state, insular area, territorial, colonial and Native American capitals.
Washington has been the federal capital of the United States since 1800."
Ed Royce,"Edward Randall Royce (born October 12, 1951) is an American politician who served as a member of the United States House of Representatives from California from 1993 to 2019. A member of the Republican Party, Royce served as Chairman of the United States House Committee on Foreign Affairs from 2013 to 2019."
Edward Markey,"Edward John Markey (born July 11, 1946) is an American lawyer, politician, and former Army reservist who has served as the junior United States senator from Massachusetts since 2013. A member of the Democratic Party, he was the U.S. representative for Massachusetts's 7th congressional district from 1976 to 2013."
Joseph Yun,"Joseph Yuosang Yun (born 1954) is a former top American diplomat and one of the nation's leading experts on North Korea.  From October 2016 to March 2018, he served as the United States Special Representative for North Korea Policy and Deputy Assistant Secretary for Korea and Japan.Previous senior diplomatic assignments include United States Ambassador to Malaysia, Principal Deputy Assistant Secretary in the State Department Bureau of East Asian and Pacific Affairs, Deputy Assistant Secretary."
James M. Acton,James M. Acton is a British academic and scientist. He is co-director of the Nuclear Policy Program at the Carnegie Endowment for International Peace.
Pavel Podvig (Russian Nuclear Forces Project),"The Strategic Rocket Forces of the Russian Federation or the Strategic Missile Forces of the Russian Federation (RVSN RF; Russian: Ракетные войска стратегического назначения Российской Федерации (РВСН РФ), romanized: Raketnye voyska strategicheskogo naznacheniya Rossiyskoy Federatsii, lit. 'Strategic Purpose Rocketry Troops') are a separate-troops branch of the Russian Armed Forces that control Russia's land-based intercontinental ballistic missiles (ICBMs)."
Sergey Shoygu,Sergei Kuzhugetovich Shoigu (born 21 May 1955) is a Russian politician and General of the Army who has served as Minister of Defence of the Russian Federation since 2012. Shoigu has also served as Chairman of the Council of Ministers of Defense of the Commonwealth of Independent States since 2012.
Newspaper Rodong Sinmun,Rodong Sinmun (IPA: [ɾo.doŋ ɕin.mun]; Korean: 로동신문; lit. Workers' Newspaper) is a North Korean newspaper that serves as the official newspaper of the Central Committee of the Workers' Party of Korea.
Hong Min,"Hong Kyung-Min (Korean: 홍경민; born February 9, 1976) is a South Korean pop rock singer known for his versatility. He is one of a few singers in Korea that excels at many different styles of music, from rock to dance to ballad."
Kim Sung-han,"Kim Sung-oh (born September 15, 1978) is a South Korean actor. He is best known for his supporting roles in the television series Secret Garden and the film The Man from Nowhere."
Unnamed Diplomat,"Abbas Kazmi (born 18 May 1955) is a criminal lawyer who received wide media coverage for representing Ajmal Kasab, the prime accused in the 26/11 Mumbai terror attacks. He was a participant in Bigg Boss."
Jean-Yves Le Drian,Jean-Yves Le Drian (French pronunciation: ​[ʒɑ̃ iv lə dʁijɑ̃]; born 30 June 1947) is a French politician who has served as Minister for Europe and Foreign Affairs since 2017 under President Emmanuel Macron. He previously was Minister of Defence from 2012 to 2017 under President François Hollande.
Masoud Jazayeri,"Masoud Soleimani (Persian: مسعود سلیمانی) is an Iranian who was imprisoned in the United States on October 25, 2018 charged with attempting to export biological materials from the US to Iran without authorization without bail and held in prison until his release from custody in a prisoner swap on December 11, 2019, for Xiyue Wang. Masoud Soleimani was invited by the Mayo Clinic in Minnesota to lead a research program."
Michael McFaul,"Michael Anthony McFaul (born October 1, 1963) is an American academic and diplomat who served as the United States Ambassador to Russia from 2012 to 2014. McFaul is currently the Ken Olivier and Angela Nomellini Professor in International Studies in the Department of Political Science at Stanford University, where he is the Director of the Freeman Spogli Institute for International Studies."
Nancy Pelosi,"Nancy Patricia Pelosi (; née D'Alesandro; born March 26, 1940) is an American politician serving as speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. She has served as a U.S. representative from California since 1987."
Stephen Bannon,"Stephen Kevin Bannon (born November 27, 1953) is an American media executive, political strategist, and former investment banker, who served as the White House's chief strategist in the administration of U.S. President Donald Trump during the first seven months of Trump's term. He is a former executive chairman of Breitbart News, and previously served on the board of the now-defunct data-analytics firm Cambridge Analytica.Bannon was an officer in the United States Navy for seven years in the late 1970s and early 1980s."
John R. Bolton,"John Robert Bolton (born November 20, 1948) is an American attorney, diplomat, Republican consultant, and political commentator. He served as the 25th United States Ambassador to the United Nations from 2005 to 2006, and as the 27th United States National Security Advisor from 2018 to 2019."
Michele Kelemen,"Michèle Angélique Flournoy (, born December 14, 1960) is an American defense policy advisor and former government official. She was Deputy Assistant Secretary of Defense for Strategy under President Bill Clinton and Under Secretary of Defense for Policy under President Barack Obama."
Timo Soini,Timo Juhani Soini (born 30 May 1962) is a Finnish politician who is the co-founder and former leader of the Finns Party. He served as Deputy Prime Minister of Finland from 2015 to 2017 and Minister of Foreign Affairs from 2015 to 2019.He was elected as a member of the Espoo city council in 2000 and the Parliament of Finland in 2003.
John R. Bolton OLD,"John Robert Bolton (born November 20, 1948) is an American attorney, diplomat, Republican consultant, and political commentator. He served as the 25th United States Ambassador to the United Nations from 2005 to 2006, and as the 27th United States National Security Advisor from 2018 to 2019."
Aidan Foster-Carter,"The Pyongyang Times is a weekly state-controlled English and French-language newspaper published in the North Korean capital, Pyongyang, by the Foreign Languages Publishing House. It is the foreign-language edition of the Pyongyang Sinmun."
James Hoare,"James Edward Hoare (born 1943) is a British academic and historian specialising in Korean and Chinese studies, and a career diplomat in the British Foreign Office.


== Academia ==
Dr."
Koh Yu-hwan,"The 2019 Koreas–United States DMZ Summit was a one-day summit held at the Korean Demilitarized Zone between North Korean chairman Kim Jong-un, U.S. president Donald Trump, and South Korean president Moon Jae-in, following the 2019 G20 Osaka summit. Trump briefly stepped over the border at 3:45 PM (GMT+9) on June 30, marking the first time a sitting U.S. president had set foot on North Korean soil."
Jeffrey Lewis,"Jeffrey Lewis (born November 20, 1975) is an American singer-songwriter and comic book artist.


== Early life ==
Lewis was born in New York City and grew up on the Lower East Side."
Pamela Chen,"Pamela Ki Mai Chen (born March 30, 1961) is a United States District Judge of the United States District Court for the Eastern District of New York.


== Biography ==
Chen was born in 1961 in Chicago, Illinois."
PLA Statement,"The People's Liberation Army (PLA) is the armed forces of the People's Republic of China (PRC) and the armed wing of the PRC's founding and ruling political party, the Chinese Communist Party (CCP). Besides the Central Military Commission (CMC) and several minor units directly under it, the PLA has five major service branches: the Ground Force (PLAGF), Navy (PLAN), Air Force (PLAAF), Rocket Force (PLARF), and the Strategic Support Force (PLASSF)."
Official India,"There is no national language in India.  However, article 343(1) of the Indian constitution specifically mentions that, ""The official language of the Union shall be Hindi in Devanagari script."
Shailesh Kumar,"Shailesh Kumar is an American writer, entrepreneur, and private investor. He is the founder of Value Stock Guide, a financial website that provides information about investing."
Robert Kelly,"Robert Sylvester Kelly (born January 8, 1967) is an American singer, songwriter, record producer, and convicted sex offender. He has been credited with helping to redefine R&B and hip hop, earning nicknames such as ""the King of R&B"", ""the King of Pop-Soul"", and the ""Pied Piper of R&B"".Kelly is known for songs including ""I Believe I Can Fly"", ""Bump N' Grind"", ""Your Body's Callin'"", ""Gotham City"", ""Ignition (Remix)"", ""If I Could Turn Back the Hands of Time"", ""The World's Greatest"", ""I'm a Flirt (Remix)"", and the hip hopera ""Trapped in the Closet""."
Statement Global Times,"The Global Times (simplified Chinese: 环球时报; traditional Chinese: 環球時報; pinyin: Huánqiú Shíbào) is a daily tabloid newspaper under the auspices of the Chinese Communist Party's flagship People's Daily newspaper, commenting on international issues from a nationalistic perspective. The newspaper has been the source of various incidents, including fabrications and disinformation.The publication has been labelled as ""China's Fox News"" by some scholars and writers for its propagandistic slant and the monetization of nationalism."
Report 38North,38 North is a website devoted to analysis about North Korea. Its name refers to the 38th parallel north which passes through the Korean peninsula and between 1945 until the start of the Korean War in 1950 divided the peninsula into North and South Korea.
Sigmar Gabriel,"Sigmar Hartmut Gabriel (born 12 September 1959) is a German politician who was the minister for Foreign Affairs from 2017 to 2018 and the vice-chancellor of Germany from 2013 to 2018. He was Leader of the Social Democratic Party of Germany (SPD) from 2009 to 2017, which made him the party's longest-serving leader since Willy Brandt."
Shinzo Abe,"Shinzo Abe (安倍 晋三, Abe Shinzō, IPA: [abe ɕindzoː]; born 21 September 1954) is a Japanese politician who served as Prime Minister of Japan and President of the Liberal Democratic Party (LDP) from 2006 to 2007 and again from 2012 to 2020. He is the longest-serving prime minister in Japanese history."
Scott Snyder,"Scott Snyder is an American writer. He is known for his 2006 short story collection Voodoo Heart, and his comic book writing, including American Vampire, Detective Comics, Batman, Wytches, Swamp Thing, and Justice League."
Boris Johnson,Alexander Boris de Pfeffel Johnson (; born 19 June 1964) is a British politician serving as Prime Minister of the United Kingdom and Leader of the Conservative Party since 2019. He was Secretary of State for Foreign and Commonwealth Affairs from 2016 to 2018 and Mayor of London from 2008 to 2016.
Unnamed Official,"""The Unnamed Feeling"" is a song by heavy metal band Metallica. It was released on January 12, 2004, as the third single from the band's eighth studio album, St."
Official Vietnam,"Vietnam (Vietnamese: Việt Nam, [vîət nāːm] (listen)), officially the Socialist Republic of Vietnam, is a country in Southeast Asia. Located at the eastern edge of mainland Southeast Asia, it covers 311,699 square kilometres."
Government Russian,"The government of Russia exercises executive power in the Russian Federation. The members of the government are the prime minister, the deputy prime ministers, and the federal ministers."
Statement DOD,"DOD-STD-2167A (Department of Defense Standard 2167A), titled ""Defense Systems Software Development"", was a United States defense standard, published on February 29, 1988, which updated the less well known DOD-STD-2167 published 4 June 1985. This document established ""uniform requirements for the software development that are applicable throughout the system life cycle."" This revision was written to allow the contractor more flexibility and was a significant reorganization and reduction of the previous revision; e.g.., where the previous revision prescribed pages of design and coding standards, this revision only gave one page of general requirements for the contractor's coding standards; while DOD-STD-2167 listed 11 quality factors to be addressed for each software component in the SRS, DOD-STD-2167A only tasked the contractor to address relevant quality factors in the SRS.  Like DOD-STD-2167, it was designed to be used with DOD-STD-2168, ""Defense System Software Quality Program""."
Hassan Rouhani,"Hassan Rouhani (Persian: حسن روحانی, Standard Persian pronunciation: [hæˈsæn-e ɾowhɒːˈniː] (listen); born Hassan Fereydoun (Persian: حسن فریدون); 12 November 1948) is an Iranian politician who served as the seventh president of Iran from 3 August 2013 until 3 August 2021. He is also a sharia lawyer (""Wakil""), academic, former diplomat and Islamic cleric."
Elise Hu,"Elise Hu is an American broadcast journalist who hosts the TED Talks Daily podcast  and serves as host-at-large for NPR. From 2015 to 2018, she was the network's first Seoul, South Korea, bureau chief.


== Life and education ==
Hu was born in St."
Government Japan,"The Government of Japan consists of legislative, executive and judiciary branches and is based on popular sovereignty. The Government runs under the framework established by the Constitution of Japan, adopted in 1947."
Cho Myoung-gyon,"Cho Myoung-gyon (Korean: 조명균; Hanja: 趙明均; born 17 November 1957) is a South Korean politician previously served as President Moon Jae-in's first Minister of Unification.
After passing the state exam in 1979, Cho spent most of his career at the Ministry of Unification."
Unnamed Lawmaker,"Lesbian, gay, bisexual, and transgender (LGBT) people in Japan may face legal challenges not experienced by non-LGBT residents. Same-sex sexual activity was criminalised only briefly in Japan's history between 1872 and 1880, after which a localised version of the Napoleonic Penal Code was adopted with an equal age of consent."
Adm. Philip Davidson,"Philip Scot Davidson (born August 24, 1960) is a retired four-star admiral in the United States Navy who last served as the 25th commander of United States Indo-Pacific Command from May 30, 2018 to April 30, 2021. He previously served as the commander of United States Fleet Forces Command and United States Naval Forces Northern Command from 2014 to 2018."
Patrick McEachern,"John McEachern High School or McEachern High School is a public high school established in 1908 in Powder Springs, Georgia, United States. It was originally established as the Seventh District Agricultural and Mechanical School."
Official British,"The Official Charts Company (previously known as the Chart Information Network (CIN) and The Official UK Charts Company) is a British inter-professional organisation that compiles various ""official"" record charts in a number of European territories.In the United Kingdom, its charts include ones for singles, albums and films, with the data compiled from a mixture of downloads, purchases (of physical media) and streaming. The OCC produces its charts by gathering and combining sales data from retailers through market researchers Kantar, and claims to cover 99% of the singles market and 95% of the album market, and aims to collect data from any retailer who sells more than 100 chart items per week.The OCC is operated jointly by the British Phonographic Industry and the Entertainment Retailers Association (ERA) (formerly the British Association of Record Dealers (BARD))."
Emmanuel Macron,"Emmanuel Jean-Michel Frédéric Macron (French: [emanɥɛl ʒɑ̃ miʃɛl fʁedeʁik makʁɔ̃]; born 21 December 1977) is a French politician who has been serving as the president of France since 14 May 2017.
Born in Amiens, Macron studied philosophy at Paris Nanterre University, later completing a master's degree in public affairs at Sciences Po and graduating from the École nationale d'administration in 2004."
Official Russian,This is a list of countries and territories where Russian is an official language:
Edwin Lyman,"Edwin Lyman is Senior Global Security Scientist with the Union of Concerned Scientists (UCS). He specialises in nuclear proliferation, nuclear terrorism, and nuclear power safety."
Lisa Gordon-Hagerty,"Lisa E. Gordon-Hagerty is an American scientist and former government official who served as the under secretary of energy for nuclear security and administrator of the National Nuclear Security Administration. Earlier in her career, she had served in various other leadership positions in the Department of Energy and the National Security Council."
